id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,summary
18,2017,Delhi,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,,the city of Delhi was the host for match. the match took place inside Feroz Shah Kotla. Delhi Daredevils decided to bat after winning the toss. the match was won by Kolkata Knight Riders. the team won with 4 wickets to spare. NM Coulter-Nile took home the man of the match. 
19,2017,Hyderabad,2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,,"the city of Hyderabad was the host for match. the venue for this match was Rajiv Gandhi International Stadium, Uppal. the toss was won by Kings XI Punjab and they chose to field. the match was won by Sunrisers Hyderabad. the team won by 5 runs. B Kumar took home the man of the match. "
20,2017,Rajkot,2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,,the match was played in the city of Rajkot. the match took place inside Saurashtra Cricket Association Stadium. the toss was won by Gujarat Lions and they chose to field. Royal Challengers Bangalore emerged victorious. the team won by 21 runs. the man of the match was CH Gayle. 
21,2017,Hyderabad,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,,"the match was played in the city of Hyderabad. the match took place inside Rajiv Gandhi International Stadium, Uppal. the toss was won by Sunrisers Hyderabad and they chose to bat. Sunrisers Hyderabad emerged victorious. the team won by 15 runs. the man of the match was KS Williamson. "
22,2017,Indore,2017-04-20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,,the city of Indore was the host for match. the venue for this match was Holkar Cricket Stadium. the toss was won by Mumbai Indians and they chose to field. Mumbai Indians emerged victorious. the team won with 8 wickets to spare. the man of the match was JC Buttler. 
23,2017,Kolkata,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,,the match was played in the city of Kolkata. the match took place inside Eden Gardens. Gujarat Lions decided to field after winning the toss. Gujarat Lions emerged victorious. the team won with 4 wickets to spare. the man of the match was SK Raina. 
24,2017,Mumbai,2017-04-22,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,,the city of Mumbai was the host for match. the venue for this match was Wankhede Stadium. the toss was won by Delhi Daredevils and they chose to field. the match was won by Mumbai Indians. the team won by 14 runs. the man of the match was MJ McClenaghan. 
25,2017,Pune,2017-04-22,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,the city of Pune was the host for match. the match took place inside Maharashtra Cricket Association Stadium. Rising Pune Supergiant decided to field after winning the toss. the match was won by Rising Pune Supergiant. the team won with 6 wickets to spare. the man of the match was MS Dhoni. 
26,2017,Rajkot,2017-04-23,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,,the match was played in the city of Rajkot. the match took place inside Saurashtra Cricket Association Stadium. Gujarat Lions decided to field after winning the toss. the match was won by Kings XI Punjab. the team won by 26 runs. the man of the match was HM Amla. 
27,2017,Kolkata,2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,the match was played in the city of Kolkata. the venue for this match was Eden Gardens. the toss was won by Royal Challengers Bangalore and they chose to field. Kolkata Knight Riders emerged victorious. the team won by 82 runs. the man of the match was NM Coulter-Nile. 
28,2017,Mumbai,2017-04-24,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,,the city of Mumbai was the host for match. the match took place inside Wankhede Stadium. the toss was won by Mumbai Indians and they chose to field. Rising Pune Supergiant emerged victorious. the team won by 3 runs. the man of the match was BA Stokes. 
29,2017,Pune,2017-04-26,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,,the city of Pune was the host for match. the venue for this match was Maharashtra Cricket Association Stadium. Kolkata Knight Riders decided to field after winning the toss. Kolkata Knight Riders emerged victorious. the team won with 7 wickets to spare. RV Uthappa took home the man of the match. 
30,2017,Bangalore,2017-04-27,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,,the match was played in the city of Bangalore. the match took place inside M Chinnaswamy Stadium. Gujarat Lions decided to field after winning the toss. the match was won by Gujarat Lions. the team won with 7 wickets to spare. the man of the match was AJ Tye. 
31,2017,Kolkata,2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,,the match was played in the city of Kolkata. the venue for this match was Eden Gardens. the toss was won by Kolkata Knight Riders and they chose to field. the match was won by Kolkata Knight Riders. the team won with 7 wickets to spare. the man of the match was G Gambhir. 
32,2017,Chandigarh,2017-04-28,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,,"the match was played in the city of Chandigarh. the venue for this match was Punjab Cricket Association IS Bindra Stadium, Mohali. Kings XI Punjab decided to field after winning the toss. Sunrisers Hyderabad emerged victorious. the team won by 26 runs. the man of the match was Rashid Khan. "
33,2017,Pune,2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,,the match was played in the city of Pune. the match took place inside Maharashtra Cricket Association Stadium. the toss was won by Royal Challengers Bangalore and they chose to field. Rising Pune Supergiant emerged victorious. the team won by 61 runs. the man of the match was LH Ferguson. 
34,2017,Rajkot,2017-04-29,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney,,the city of Rajkot was the host for match. the match took place inside Saurashtra Cricket Association Stadium. the toss was won by Gujarat Lions and they chose to bat. the match was won by Mumbai Indians. the team won with 0 wickets to spare. KH Pandya took home the man of the match. 
35,2017,Chandigarh,2017-04-30,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,,"the city of Chandigarh was the host for match. the venue for this match was Punjab Cricket Association IS Bindra Stadium, Mohali. the toss was won by Kings XI Punjab and they chose to field. Kings XI Punjab emerged victorious. the team won with 10 wickets to spare. Sandeep Sharma took home the man of the match. "
36,2017,Hyderabad,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,,"the city of Hyderabad was the host for match. the venue for this match was Rajiv Gandhi International Stadium, Uppal. the toss was won by Kolkata Knight Riders and they chose to field. Sunrisers Hyderabad emerged victorious. the team won by 48 runs. DA Warner took home the man of the match. "
37,2017,Mumbai,2017-05-01,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney,,the match was played in the city of Mumbai. the match took place inside Wankhede Stadium. the toss was won by Royal Challengers Bangalore and they chose to bat. the match was won by Mumbai Indians. the team won with 5 wickets to spare. RG Sharma took home the man of the match. 
38,2017,Pune,2017-05-01,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,5,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin,,the match was played in the city of Pune. the venue for this match was Maharashtra Cricket Association Stadium. Rising Pune Supergiant decided to field after winning the toss. the match was won by Rising Pune Supergiant. the team won with 5 wickets to spare. the man of the match was BA Stokes. 
39,2017,Delhi,2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,,the city of Delhi was the host for match. the venue for this match was Feroz Shah Kotla. Delhi Daredevils decided to field after winning the toss. the match was won by Delhi Daredevils. the team won with 6 wickets to spare. the man of the match was Mohammed Shami. 
40,2017,Kolkata,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore,,the match was played in the city of Kolkata. the venue for this match was Eden Gardens. the toss was won by Rising Pune Supergiant and they chose to field. the match was won by Rising Pune Supergiant. the team won with 4 wickets to spare. the man of the match was RA Tripathi. 
41,2017,Delhi,2017-05-04,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,,the match was played in the city of Delhi. the match took place inside Feroz Shah Kotla. the toss was won by Delhi Daredevils and they chose to field. Delhi Daredevils emerged victorious. the team won with 7 wickets to spare. the man of the match was RR Pant. 
42,2017,Bangalore,2017-05-05,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin,,the city of Bangalore was the host for match. the match took place inside M Chinnaswamy Stadium. the toss was won by Royal Challengers Bangalore and they chose to field. Kings XI Punjab emerged victorious. the team won by 19 runs. Sandeep Sharma took home the man of the match. 
43,2017,Hyderabad,2017-05-06,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,AK Chaudhary,,"the city of Hyderabad was the host for match. the venue for this match was Rajiv Gandhi International Stadium, Uppal. Sunrisers Hyderabad decided to field after winning the toss. the match was won by Rising Pune Supergiant. the team won by 12 runs. JD Unadkat took home the man of the match. "
44,2017,Delhi,2017-05-06,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan,,the city of Delhi was the host for match. the venue for this match was Feroz Shah Kotla. the toss was won by Delhi Daredevils and they chose to field. the match was won by Mumbai Indians. the team won by 146 runs. LMP Simmons took home the man of the match. 
45,2017,Bangalore,2017-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,,the city of Bangalore was the host for match. the venue for this match was M Chinnaswamy Stadium. Kolkata Knight Riders decided to field after winning the toss. the match was won by Kolkata Knight Riders. the team won with 6 wickets to spare. the man of the match was SP Narine. 
46,2017,Chandigarh,2017-05-07,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,,"the city of Chandigarh was the host for match. the venue for this match was Punjab Cricket Association IS Bindra Stadium, Mohali. the toss was won by Gujarat Lions and they chose to field. Gujarat Lions emerged victorious. the team won with 6 wickets to spare. DR Smith took home the man of the match. "
47,2017,Hyderabad,2017-05-08,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus,,"the match was played in the city of Hyderabad. the match took place inside Rajiv Gandhi International Stadium, Uppal. the toss was won by Mumbai Indians and they chose to bat. the match was won by Sunrisers Hyderabad. the team won with 7 wickets to spare. the man of the match was S Dhawan. "
48,2017,Chandigarh,2017-05-09,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi,,"the match was played in the city of Chandigarh. the venue for this match was Punjab Cricket Association IS Bindra Stadium, Mohali. Kolkata Knight Riders decided to field after winning the toss. Kings XI Punjab emerged victorious. the team won by 14 runs. the man of the match was MM Sharma. "
49,2017,Kanpur,2017-05-10,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,SS Iyer,Green Park,YC Barde,AK Chaudhary,,the match was played in the city of Kanpur. the match took place inside Green Park. Delhi Daredevils decided to field after winning the toss. the match was won by Delhi Daredevils. the team won with 2 wickets to spare. SS Iyer took home the man of the match. 
50,2017,Mumbai,2017-05-11,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,,the match was played in the city of Mumbai. the match took place inside Wankhede Stadium. Mumbai Indians decided to field after winning the toss. the match was won by Kings XI Punjab. the team won by 7 runs. the man of the match was WP Saha. 
51,2017,Delhi,2017-05-12,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan,,the city of Delhi was the host for match. the match took place inside Feroz Shah Kotla. the toss was won by Delhi Daredevils and they chose to bat. the match was won by Delhi Daredevils. the team won by 7 runs. KK Nair took home the man of the match. 
52,2017,Kanpur,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Mohammed Siraj,Green Park,AK Chaudhary,Nitin Menon,,the match was played in the city of Kanpur. the venue for this match was Green Park. the toss was won by Sunrisers Hyderabad and they chose to field. Sunrisers Hyderabad emerged victorious. the team won with 8 wickets to spare. Mohammed Siraj took home the man of the match. 
53,2017,Kolkata,2017-05-13,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi,,the city of Kolkata was the host for match. the venue for this match was Eden Gardens. Kolkata Knight Riders decided to field after winning the toss. Mumbai Indians emerged victorious. the team won by 9 runs. the man of the match was AT Rayudu. 
54,2017,Pune,2017-05-14,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,the match was played in the city of Pune. the venue for this match was Maharashtra Cricket Association Stadium. Rising Pune Supergiant decided to field after winning the toss. Rising Pune Supergiant emerged victorious. the team won with 9 wickets to spare. JD Unadkat took home the man of the match. 
55,2017,Delhi,2017-05-14,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin,,the match was played in the city of Delhi. the match took place inside Feroz Shah Kotla. the toss was won by Royal Challengers Bangalore and they chose to bat. the match was won by Royal Challengers Bangalore. the team won by 10 runs. the man of the match was HV Patel. 
56,2017,Mumbai,2017-05-16,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin,,the city of Mumbai was the host for match. the match took place inside Wankhede Stadium. Mumbai Indians decided to field after winning the toss. the match was won by Rising Pune Supergiant. the team won by 20 runs. Washington Sundar took home the man of the match. 
57,2017,Bangalore,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon,,the city of Bangalore was the host for match. the match took place inside M Chinnaswamy Stadium. the toss was won by Kolkata Knight Riders and they chose to field. the match was won by Kolkata Knight Riders. the team won with 7 wickets to spare. the man of the match was NM Coulter-Nile. 
58,2017,Bangalore,2017-05-19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon,,the match was played in the city of Bangalore. the match took place inside M Chinnaswamy Stadium. the toss was won by Mumbai Indians and they chose to field. the match was won by Mumbai Indians. the team won with 6 wickets to spare. the man of the match was KV Sharma. 
59,2017,Hyderabad,2017-05-21,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi,,"the city of Hyderabad was the host for match. the venue for this match was Rajiv Gandhi International Stadium, Uppal. the toss was won by Mumbai Indians and they chose to bat. the match was won by Mumbai Indians. the team won by 1 runs. KH Pandya took home the man of the match. "
60,2008,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,,the match was played in the city of Bangalore. the match took place inside M Chinnaswamy Stadium. the toss was won by Royal Challengers Bangalore and they chose to field. the match was won by Kolkata Knight Riders. the team won by 140 runs. BB McCullum took home the man of the match. 
61,2008,Chandigarh,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,,"the match was played in the city of Chandigarh. the match took place inside Punjab Cricket Association Stadium, Mohali. the toss was won by Chennai Super Kings and they chose to bat. Chennai Super Kings emerged victorious. the team won by 33 runs. the man of the match was MEK Hussey. "
62,2008,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,the city of Delhi was the host for match. the venue for this match was Feroz Shah Kotla. Rajasthan Royals decided to bat after winning the toss. the match was won by Delhi Daredevils. the team won with 9 wickets to spare. the man of the match was MF Maharoof. 
63,2008,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,,the city of Mumbai was the host for match. the venue for this match was Wankhede Stadium. the toss was won by Mumbai Indians and they chose to bat. the match was won by Royal Challengers Bangalore. the team won with 5 wickets to spare. the man of the match was MV Boucher. 
64,2008,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,,the city of Kolkata was the host for match. the venue for this match was Eden Gardens. the toss was won by Deccan Chargers and they chose to bat. Kolkata Knight Riders emerged victorious. the team won with 5 wickets to spare. the man of the match was DJ Hussey. 
